comment_id,author,comment_text,label
UgzL3FJ-dRnmMUdNQMR4AaABAg,@ЕкатеринаШевченко-ч9ы,"Komunitas ⭐ A L E X I S 1 7 ⭐ ternyata solid banget, salut!",1
UgzIPRhX7DbaE_UnF0R4AaABAg,@ИгорьЛобан-ы3б,"Nggak perlu mikir dua kali, langsung gas ke ⭐ A L E X I S 1 7 ⭐.",1
UgzSCTR0p6ovDBGdJzt4AaABAg,@MDardail,mg hayang baju na atuh,0
UgzZpGvshZo94HiQ1_l4AaABAg,@ЮляВовк-е1м,"Banyak testimoni bagus, ⭐ A L E X I S 1 7 ⭐ nggak diragukan lagi.",1
UgyQaNjdYK4ZP5x4lOt4AaABAg,@Kak_zarabotat_v_internete_,"Interfacenya user-friendly, ⭐ A L E X I S 1 7 ⭐ bikin nyaman.",1
UgwVq8K_WDJamZMgpYJ4AaABAg,@Вседлявас-т1е,Makin yakin abis baca review lain tentang ⭐ A L E X I S 1 7 ⭐.,1
UgznZeXeCnYjGFJIycF4AaABAg,@vitaliy-79,Ga sabar nunggu update terbaru dari ⭐ A L E X I S 1 7 ⭐.,1
Ugyt10XgeM9N6vF0Ml54AaABAg,@fkh2013,"Proses verifikasi juga mudah, dua jempol buat ⭐ A L E X I S 1 7 ⭐.",1
Ugz9ReCepYUvTZPiNSh4AaABAg,@иваниванов-й2ъ2б,"Kolom komentar ramai, jadi ikutan bahas ⭐ A L E X I S 1 7 ⭐!!",1
UgxA_M9Mzj7xrMlmdGd4AaABAg,@SFFedor1968,"Apapun yang kalian cari, kayaknya ⭐ A L E X I S 1 7 ⭐ punya jawabannya.",1
UgyUhC53o0oNBqMlZH14AaABAg,@ВладимирАндреевичс-е9я,"Cepat, tepat, andal, itu tiga kata buat ⭐ A L E X I S 1 7 ⭐.",1
UgxEsEa9Mv9THBpzomF4AaABAg,@Андрей-к7ч9э,"Selalu muncul di kolom komentar, ternyata hype ⭐ A L E X I S 1 7 ⭐ real.",1
UgxDOvLSHs3A1rCCamd4AaABAg,@ЛенаМагичева,"Sukses selalu ⭐ A L E X I S 1 7 ⭐, semoga makin banyak fitur keren!",1
UgzffLmQXlW9O_YqsvF4AaABAg,@sizeeoofficial,Paling phobia sama kodok ini😷😨,0
Ugw1oWEAofDxfRwWYRt4AaABAg,@hubbabobba5650,"Pengalaman pengguna bagus, ⭐ A L E X I S 1 7 ⭐ panen pujian.",1
UgzKayr_95ZjKA6yDPF4AaABAg,@Nginsak-dz9ig,"Matane, bangkrak ii",0
UgwlkXDnwbRYH1y1uf54AaABAg,@ДмитрийКиваев-я2р,"Idenya jenius, ⭐ A L E X I S 1 7 ⭐! memang beda dari yang lain.",1
UgyTuJo1MzIX1rLsPYp4AaABAg,@СергейСергеев-ф2х2ц,Pokoknya ⭐ A L E X I S 1 7 ⭐ adalah jawaban buat segala keribetan.,1
Ugy_FOhGen8TMiQJ3vZ4AaABAg,@BAYUNUGRAHA-ty9ph,Siapa disinih yg jiji sama kodok😂,0
UgxxoO6Y4LWpK5dwJIh4AaABAg,@gracequinn77,"Bentar itu kodok darat gk sih ? Yg kulitnya bentol bentol... kalo disini itu kodok ""bangkong"" beracun 😅",0
UgyiKw5Hq24ioEY1PoV4AaABAg,@Виктор-ж6ь9е,"Gue suka kecepatan prosesnya, ⭐ A L E X I S 1 7 ⭐ emang juara.",1
UgzRXMLTVXreO2BQtI54AaABAg,@ВикторКараваев-ч3с,"Buat yang galau, ⭐ A L E X I S 1 7 ⭐ solusi paling pas!",1
UgwkQbLgBkv2f3y_UrZ4AaABAg,@АлександрБурсик,"Eksekusi kilat, ⭐ A L E X I S 1 7 ⭐ bener-bener nggak pake lama.",1
UgxONLqz3Zwi3AZ-Is54AaABAg,@KarinaJulaiha,Lalineuk didinya mah. Di tasik mah lalingas da koak teh..bohong ieu mah nya,0
UgwgkB6kCfttT7nwP6t4AaABAg,@YudhaAditama-kyu123,"Wah mantap banget nih dapet kodok banyak 
kapan"" bikin konten nangkep kodok lagi abis itu dibikin swike pasti rasanya maknyuss",0
UgwAF-ZGtQGoUDsMLst4AaABAg,@iwanridwan8385,Kang dede bangkong budug mau dipasak 👍🤗,0
UgyQhTGR8SS7TmhcHKN4AaABAg,@enceprohyana8541,Mantaap yoo,0
Ugzp4Oy1V-pvsyZtHO14AaABAg,@ultramanungu-s9j,bangkong budug jang naon eh,0
UgyFBQblO6apK0_oI_B4AaABAg,@NataDiner,"Wih, trending terus nih ⭐ A L E X I S 1 7 ⭐, bikin penasaran aja.",1
UgzJ_xVU5XNUiB-DWY14AaABAg,@gaminganjay-r7s,Mantap bang Dede inoen segala gala makan segala gala nya dan gala gala nya,0
Ugx1NwxAOcvuVxzFb0t4AaABAg,@danny-t8i,BANGKONG BUDUG TEU SALAH A????,0
Ugx9SUf7DqJwYbWbMP54AaABAg,@fahrizalrizki3426,3:47 what the hell 😱,0
Ugyc8ZPl6dv3NJUVYKR4AaABAg,@КовальчукМикола-щ4д,"Sering muncul di FYP, ternyata ⭐ A L E X I S 1 7 ⭐ semenarik itu.",1
Ugys2l_8Ggxf_0hoblB4AaABAg,@личный-ф7б,Bingung kenapa belum kenal ⭐ A L E X I S 1 7 ⭐ dari dulu.,1
UgwvHCPLdEHvBEmJvY54AaABAg,@АлексейБузанаков-г3ж,Gimana caranya ⭐ A L E X I S 1 7 ⭐ bisa se-populer ini? Hebat!,1
UgxEJknjn3kOPKI75nB4AaABAg,@cicihnawangsih1880,naha teu beurit wiro/santung🤔,0
UgxO_ZdNYw9XfjsR4S94AaABAg,@RifkySans99,Sehat sehat kang dedi,0
UgwIjOVg-Hszqqsucp14AaABAg,@RomanAlimuradov,Wajar kalo banyak yang mempercayakan ke ⭐ A L E X I S 1 7 ⭐.,1
Ugz5GAiGy6THuFMG6dp4AaABAg,@каспер-у2ж,"Bahas ⭐ A L E X I S 1 7 ⭐ ga ada habisnya, saking bagusnya!",1
Ugym6bpzhCzEWyd-aUd4AaABAg,@MASSONCHANNELL,Itu klo di rumah namanya katak parut bang,0
UgwvIZ8xuUvN2u0ZJ7h4AaABAg,@spicy0x,Bangkong budug anjir 😭🤣,0
UgyxN0pOHMVbrGPR8Dx4AaABAg,@Ramichann,Walaupun aku fobia kodok atau katak tapi jngn sampai ketinggalan kontennya kang dede ❤❤❤❤,0
UgyYvJvkiR1H-57deYZ4AaABAg,@Юрий-ю2я-л7б,"Bahas  ga ada habisnya, saking bagusnya!",0
UgwYyN0woYF3dVDevUB4AaABAg,@Tiyanprojec2000,pati hadir kang awal tahun kemarin harga bekecot satu kg tanpa cangkang 25ribu mentah,0
UgyeaIMrSgzCwz_OS7x4AaABAg,@RosarioIvan-y2y,Akhirrrnyaaa bagus konten abang !! luar biasa coba main di ⭐𝙎𝙂𝙄88,1
UgwTwP86w01zKV3mr794AaABAg,@GradyHaskins-l1k,"Keren banget bang 😂 , Salam JePE ⭐𝙎𝙂𝙄88",1
UgwjOoD3jWIi85zXY7F4AaABAg,@KathrineAbagail-b4r,"Min video lu baguss , tetap pilih 𝙎𝙂𝙄88 😢",1
UgyN1UL0z3LHtv8lVXN4AaABAg,@TaylarMcQueen-f1p,𝙎𝙂𝙄88 bikin maxwin makin gampang,1
UgxzOhdzfutehbxxlcB4AaABAg,@SimsTristan-o8o,jepey gmpng banget di 𝙎𝙂𝙄88 ⭐,1
UgywCOpHGVYVkjsdXm14AaABAg,@ShamyaIsabell-y3d,"Salam ⭐𝙎𝙂𝙄88! gampang Jepe ,Sehat selalu buat semuanya",1
Ugy9wLbOGJaegqJDGXN4AaABAg,@BrinsonMs.Murillo-b7i,mending bang coba di 🚩𝙎𝙂𝙄88🚩 selama ini di bayar wede w !! gak pernah bermasalah,1
UgyEhwavrEmKyJZbeHF4AaABAg,@AlonsoKylan-t9c,"Semangat Bosqu , Terbaik ⭐𝙎𝙂𝙄88",1
UgzesHsF3mHC5HW6-6h4AaABAg,@PhoenixMr.Collins-g7l,"Min video lu baguss , tetap pilih 𝙎𝙂𝙄88 😢",1
UgziBJW3NE42kuZKTxp4AaABAg,@KatelynCaitlyn-h3c,Awal kebangkitan cuan pasti di 𝙎𝙂𝙄88,1
UgzlbA1gdDDXxCU-b1R4AaABAg,@JeffriesPrince-u3p,🚩𝙎𝙂𝙄88 tempat paling uhuy!,1
UgxFuydu5jaBECm8UAV4AaABAg,@MiguelBrieanna-j3t,🚩𝙎𝙂𝙄88 tempat paling uhuy!,1
Ugx4NTBdaUVGGbBWXRh4AaABAg,@DeloachDeion-m2c,"Salut bang keren kontennya , salam Jepe DI ⭐𝙎𝙂𝙄88",1
Ugy3HQ9bJw0mzPvrg4F4AaABAg,@SantosStarr-b5o,Luar biasa! bang video kamu !! ⭐𝙎𝙂𝙄88 terpercaya 5k jadi 1jt,1
UgxWNSRJSwStT4zkr6B4AaABAg,@PiperGraciela-l6z,yang pro aja bang di 𝙎𝙂𝙄88 👍,1
UgyTksu4JFlJQZSJSiJ4AaABAg,@hiiweird1767,hmm Bangkong nyoooo,0
Ugykz6gQBuXFFKS6pGN4AaABAg,@ReynaldoCappucino,Ini mah bukan kodok yg bisa d mkn hhhh,0
UgwvWz43gyev5iJJD_F4AaABAg,@Expert-ENG,"Sumpah deh,✌⭐ A L E X I S 1 7 ⭐✌ bikin semuanya jadi gampang.",1
Ugxc2b4FWAzCnZBlgsd4AaABAg,@WonogiriXNoahSahabat463,Gunung Sindur Bogor Hadir,0
Ugxp6WPDiuh4r_CVuMl4AaABAg,@ДмитрийТанана-и3к,"Pengalaman pertama yang menyenangkan, thanks✌⭐ A L E X I S 1 7 ⭐✌!",1
UgwRyKNDuFHfsDSco854AaABAg,@СергейШишкин-х9у,Satu-satunya yang bikin proses lebih ringkas ya✌⭐ A L E X I S 1 7 ⭐✌!.,1
Ugx4kCxkFKLQId9IZhx4AaABAg,@АртёмЛуганов-п9ц,"Beneran nyesel baru tau✌⭐ A L E X I S 1 7 ⭐✌ sekarang, harusnya dari dulu.",1
UgwXLHEwKiBmAIZibO14AaABAg,@ЛарисаКопытова-ь2л,"Kalo belum coba✌⭐ A L E X I S 1 7 ⭐✌, kamu ketinggalan zaman!",1
Ugyk4EB4JyQWf4T_XbF4AaABAg,@remilaskey9217,saya heran kok gak liar kodok nya 😮,0
UgwrAcdw2eS-dAm2-5F4AaABAg,@moyhermawanchannel3223,Liat menang nya aja udah merindu,0
UgyHWMSXOWJIKS9N3lJ4AaABAg,@septianiyan2785,Cibinong Bogor hadir kang ❤,0
UgwMYGUL7VWu0l8cjf14AaABAg,@KawueyaJasmine,Emang raos kitu a eta keong racun,0
UgwsRm9B_LcaOZ1HMPd4AaABAg,@МаринаКолчина-м2м,"Hampir semua video yang gue tonton, ada aja yang sebut✌⭐ A L E X I S 1 7 ⭐✌!.",1
Ugy_3atoN5zmnMcEKiZ4AaABAg,@ricobist,Bikin awug garut lord,0
UgzgfdP49rvoxkUxgdd4AaABAg,@pablobriscoemears-w2q,"Barusan coba emng iyah sih dapat wd 200 aku bang , makasih yah rekomendasi 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 🚩",1
UgxrJ1lWRw536_1qG0x4AaABAg,@bynumtahj-d8w,Awal kebangkitan cuan pasti di WETON88,1
UgxSC5k1TOoYQy3jxlF4AaABAg,@ilianahalie-e3l,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
Ugxlt403hPz7Zhd8H5p4AaABAg,@darrianmarianocanales-q3q,"Keren banget bang 😂 , Salam JePE ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",1
UgyOhaKyAatJVlF2sC54AaABAg,@conorpiazza-v6b,"Min video lu baguss , tetap pilih WETON88 😢",1
Ugwbc-Sa0NXF-vzbH7Z4AaABAg,@nehemiahkitchencamden-f3k,2:25  langsung di Weton88 bang 😹😹,1
UgzSto9G1yGtSHW5SEp4AaABAg,@joellehenningrheagallegos-t4w,Ada notif langsung nonton 😂😂 soalnya habis jepe di WETON88,1
UgzjB5iJ9P5KnJK-UQV4AaABAg,@harryjaelyn-u3k,"Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe ,Sehat selalu buat semuanya",1
UgxifLo_Vc4y2pzVwEN4AaABAg,@noravarun-m2s,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,1
UgxZBhw2LTjhVMU_Pwx4AaABAg,@brisenoamir-s8m,👍 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 👌,1
UgxJFLm5ySBcmjhM-AZ4AaABAg,@deliamorton-h8y,Mantap durasinya panjang 👍👍👍👍👍 cari WETON88 di google,1
Ugwn3-X3jIvodZ2vhEh4AaABAg,@pierreirelandanabelle-q1b,Lancar lancar bang salam Jepe ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgzSRFNx2YoKYv11F9N4AaABAg,@ayanaamaiyaguidry-f2d,"TS yah tetangga w ada yang jp 10jt di byar ,semenjak itu w main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 lumayan kalau mau cari 50 - 100 an mah gampang",1
UgxHPd8QXVH35MDdK4x4AaABAg,@hundleyrider-m5o,"Rezeki dari Weton88-bikin hariku lebih bermakna, terima kasih!",1
UgyZi7nywqUvhcEfqlt4AaABAg,@jabaricruztiffani-v1b,Konten yang luar biasa! Keren banget cara kamu menjelaskannya! Main yang bagus di sini bang ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgyQZIaaRlIZpD1bbxp4AaABAg,@kendalmina-x9h,"🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 saya maen santai aja, tetep bisa WEDEY jutaan",1
Ugw7faM8rXclCY_cB3l4AaABAg,@keltonchadwicksamuels-n4i,"Rezeki dari Weton88-bikin hariku lebih bermakna, terima kasih!",1
UgylJDjFmgC1xB9Mu0x4AaABAg,@judysheylanorris-y1w,🤑 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 🤑,1
UgwMFqL1zGbaXBACQmN4AaABAg,@lanhampaola-b6m,The best tahun ini di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 pasti byar!,1
Ugxn0mig22kRLJxMWS54AaABAg,@wilsonjeffersonbeaty-h5k,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,1
UgxGllAYuizc4D1RP4N4AaABAg,@oreillyculpepper-w7w,"coba di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, gak ribet ! salam petir x 500",1
UgytY24dXobkeGLBDb14AaABAg,@makalamcnamara-y4k,Cair terus ini kakak mantap banget cuan di Weton88,1
Ugxj2hy3B6nwjN_-aqZ4AaABAg,@mazurlelandmilner-f7s,"Bandar Weton88☀ auto, sultan gacur",1
Ugw0cbTfNz3MESrJ-t94AaABAg,@skylarherringflint-g8v,Semangat bang buat konten nya 😊Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,1
UgxQO4G05PP6QpZE8_B4AaABAg,@karissaaron-d5t,🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!,1
UgzFbS3nr9IHN_p2hDJ4AaABAg,@harleycalkinsyoung-e9m,Sehat selalu dan banyak rezeki Weton88,1
Ugyqc92ePnkAknRGcQ94AaABAg,@cristophermikala-p4v,Ada notif langsung nonton 😂😂 soalnya habis jepe di WETON88,1
UgxXjJKyk_BKXJh0Lh54AaABAg,@davilaxavier-b5w,"ke 3 bang ,salam jepe Weton88",1
Ugyv1DsXCvIbRSW8AyF4AaABAg,@branhamlillian-v2j,Streamer favorit ❤ dan selalu menunggu update terbarunya 😁😁 semangat terus bang 💪💪 salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgwkUGeF9sN7xhk_6qZ4AaABAg,@dickeyesmeraldaslagle-h6u,"ke 3 bang ,salam jepe Weton88",1
UgzyqgUJiHrSwywfkEJ4AaABAg,@munsonericapatrick-k8f,0:03 Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgyoB3RUvS3ajsN29ZN4AaABAg,@kathykelleyashli-w7j,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin maxwin makin gampang,1
Ugx7pekJl9SU0QXQtfR4AaABAg,@leelibbydawsonbower-i1u,The best tahun ini di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 pasti byar!,1
UgzDbNwUpVCiXooYNi54AaABAg,@ngnoellaster-t8x2o,"jepey terus di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, beneran!",1
Ugzmrv-7iX6C_FFNEOd4AaABAg,@guadalupelunsfordcuellar-j5y,"Kapan lagi main di situs segacor 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, asli nagih sih",1
Ugx1Iea9YpQ9aMisApp4AaABAg,@kerichristophermaliyah-i4c,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,1
Ugx7Ir6S35AEDfPAt414AaABAg,@AnggaraAurelia,Apakah GK haram makan kodok/katak,0
UgzJaMTZE3Wf-z5nIuR4AaABAg,@ZeeVlay385,WENAKNYOO 😭,1
UgxnmuZXYSttDdJnkeh4AaABAg,@Русланбэтман-м2б,"Bukan kaleng-kaleng,✌⭐ A L E X I S 1 7 ⭐✌ benar-benar memuaskan.",1
UgzNgeLClEdrkz85b5l4AaABAg,@дмитрийгалынский-ы4г,"Sebagai pemula,✌⭐ A L E X I S 1 7 ⭐✌ kasih panduan yang mudah dipahami.",1
UgyynNNEZwwy7g_2wNh4AaABAg,@ВикторияХитрова-д3ъ,"Positif banget vibe-nya,✌⭐ A L E X I S 1 7 ⭐✌! patut diacungi jempol.",1
UgzoAoUNwkZtjW5gIC54AaABAg,@натальябурлак-х1ф,"Bikin penasaran aja, ⭐ A L E X I S 1 7 ⭐ pasti punya layanan keren.",1
UgyJTFQv4omzXSrYi6N4AaABAg,@puputfelandari7182,"Gurih daging kodok ,cuma susah nangkepnya kalo gak lagi musim,liat kang Dede ko gampang bgt nangkapnya,keren sekali 👍",0
Ugz8EEl9pYtxIRGBem54AaABAg,@saya8098,Haram bang makan kodok,0
UgzXndRBupRt14EM8et4AaABAg,@MakHaji-w7n,Jepruuutttt😂😂lord,0
UgxFmNzcCAPp6729lml4AaABAg,@blenosindonesia,"Kapan kolaborasi dengan KDM. Lewat pengetahuan alam ,seni atau sagala kabisa KDI (kang dede inoen). Soalnya kang dede kayaknya orang cerdas yg kreatif yg dibutuhkan ilmunya untuk anak anak jabar dan indonesia.❤",0
Ugzms0qjJHetSW7Y7hV4AaABAg,@PianSupriatna-v2e,Ini nii kodok josss a dede🎉,0
UgzrcXmINZdTLGkIP8Z4AaABAg,@TonyToterasu,bangkong nyoo,0
UgxjZ6zhBj37CbQOIF54AaABAg,@denzbagus6424,Mantap nyoo kodok hasil alam begitu nikmat sekali kang😂😂,0
UgyUyhrmX_KZDGDYLvR4AaABAg,@hirschantonia-l8o,yang pro aja bang di Weton88 👍,0
UgwOPIjRdoGGXwbyXTZ4AaABAg,@jayamorrellerinalcantar-c1w,weton88 keren banget 😊,0
Ugz1gmzKTFWtoaK4YqJ4AaABAg,@roquepatten-m1b,Akhirnyaa🎉🎉🎉 Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,1
UgwFrSGwjFb37NAgPPB4AaABAg,@sarachoifry-x6p,Akhirnyaa🎉🎉🎉 Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,1
Ugz_DIy07NA4oXoBE794AaABAg,@padronmilo-t6w,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 emang top markotop! JP terus!,1
UgzlRfHntLO8p24vs_J4AaABAg,@martenschristazavala-p2s,Luar biasa! bang video kamu !! ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 terpercaya 5k jadi 1jt,1
Ugz0tdT80eCGFSw9LrF4AaABAg,@ornelasshelbie-q7x,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgxltrvaR3hvLssmdAt4AaABAg,@hannamckennamcdonald-c1r,"Bandar Weton88☀ auto, sultan gacur",1
UgzqaKn5saxzzSXoEyR4AaABAg,@krysteneverardohardwick-r4l,Jujur klo main mending di weton88 bang,1
UgxoSj1odqBslLZq_S14AaABAg,@jacehavensjustinray-m5g,Makin yakin abis baca review lain tentang ✌✌Weton88.,1
UgzUclafANPhPiz3w1h4AaABAg,@sandbergmetz-i4t,"Bermain bersama teman-teman di Weton88 semakin seru dan asyik, semakin banyak pula rezekinya!",1
UgwMt7Ne2eizfUdMlk14AaABAg,@hacallahan-m8m,0:02 Wah keren Weton88 terbaik menang mudah,1
UgwOqAwvdPb2IYKmoaF4AaABAg,@marionleyvaamayathatcher-v4u,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,1
Ugw7cebZ2SsMj0gtwrV4AaABAg,@leighayeseniadonald-z3i,jepey gmpng banget di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ⭐,1
Ugxyt1e5TeohpLz_rbJ4AaABAg,@hannajanice-t6q,"TS yah tetangga w ada yang jp 10jt di byar ,semenjak itu w main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 lumayan kalau mau cari 50 - 100 an mah gampang",1
Ugywxb-HlUbN7yO-1TN4AaABAg,@shakayladunningsyed-z5b,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgzzRQxNQG2AsMraiCN4AaABAg,@nasirvo-z9k,9:11  bang tadi jam segitu menang besar w di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩,1
UgyFFSuh9OM6eaxxgeh4AaABAg,@Yudatirta-t2h,"Mantap ,enak bnget daging kodok tuh,",0
UgweVRbQP0GlvouidWl4AaABAg,@mangcepimerantaudimalaysia5224,Gelo ih Bangkong korodok di Leubok..tamarakan siamah dede,0
UgxqoBcXmWrC7OlP3jx4AaABAg,@nabillaazzahra7797,Ada yang apa bang tadi😊,0
UgxtfGtXP0-Dz-IMI9B4AaABAg,@Rohidah-z3z,Cibinong hadir,0
UgxpIYn83oBxiMKx0AR4AaABAg,@putramahesa1489,Kang dede islam apa Kristen sih,0
Ugxr7QIENt5Kdy9vu2N4AaABAg,@fransiskusborgiasdenioktav3902,"Kodok bangkak itu bang , emang gak keracunan kah?",0
Ugz6gLpNvfsvizNOHQp4AaABAg,@ad.am.grunge06,puncak rantai makanan,0
UgwhxfhSslRI5dX8dVp4AaABAg,@andrianputra716,Njir kodok brudus bukan kodok ijo,0
UgzfLIM6CHsDWuy4_Cl4AaABAg,@NezukoKamado-td2er,"bom dia, makanan GERATIS hasil alam sana",0
Ugy0PeQ1ttpqgNSfLP14AaABAg,@AmarMuslim-v3m,Di tempat saya itu namanya kodok kintel,0
UgyerGQ__rfrQYoIkxR4AaABAg,@FadzlanHasya-eq5uz,Baju na alus euy JARMOK 😂😂😂,0
UgyNu_8vkBsdF97LF7R4AaABAg,@YEONANIMASI,Anjay,0
UgyCA2MJXb90PFs0HtJ4AaABAg,@ajipsuspension8954,"Ucup mna ucup,qo ga prnh klhtn.knpa,apa sdh d gnti kmramn nya..?😊🤔🙏",0
Ugx0Z59Kf-kJA085AT94AaABAg,@limasaudara5715,Ikut keseruannya kang dede inoen,0
UgwgFMhuDfjYqp9B6TF4AaABAg,@edinkpermana3382,Hadir,0
UgzC-wWN9-s6JlQV4pV4AaABAg,@pejabatgoblokanjingbabimemek,Bukannya kodok haram?,0
UgxzEW9Yj824ZLBrcjN4AaABAg,@alexwoodscorinatomlinson-z8i,Konten yang luar biasa! Keren banget cara kamu menjelaskannya! Main yang bagus di sini bang ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
Ugxz5JyGjifptwhWvOp4AaABAg,@eliezerbeverlylyledouglas-g9e,Mantap durasinya panjang 👍👍👍👍👍 cari WETON88 di google,1
UgwB9pW6ewjaMbm7fWh4AaABAg,@haneyarteaga-j5r,Ada notif langsung nonton 😂😂 soalnya habis jepe di WETON88,1
Ugx-Z3kL5L1W9Uig4st4AaABAg,@coltakinabigailkilpatrick-l8o,terima kasi rezekinya  ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
UgzBmtrTXQReE8A2xIh4AaABAg,@katlynashtonferraro-m7w,"🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 saya maen santai aja, tetep bisa WEDEY jutaan",1
